document_id,clean_text,sentiment
1,ukraine stand white supremacy russia stand,Neutral
2,remember racism black people problem way white people view black people problem,Negative
3,born slavery tubman escaped made mission rescue approx slave using network antislavery activist safe house known underground railroad,Positive
4,kill body take life never kill soul soul live forever huey p newton,Positive
5,america need label kkk proud boy neo nazi hate group,Neutral
6,date remember ahmaud arbery shot jogging neighborhood near brunswick ga beginning today sate georgia recognize feb year ahmaud arbery day,Positive
7,month movement hope take learning black history everyday year,Negative
8,ding amp ding ding ding ding amp ding ding,Neutral
9,never forget broke jaw trans girl protest ignored cheered,Neutral
10,kathleen worked hard break prejudice promoted equality individual origin contributed development inclusive society canada kay livingstone,Negative
11,today remember ahmaud arbery murdered year ago day may rest power,Neutral
12,black culture kill,Negative
13,musketeer community live,Positive
14,courtesy,Neutral
15,emergency act revoked via,Neutral
16,time,Neutral
17,solidarity,Neutral
18,last night honored join florida black leader activist discus trayvon martin racism watch replay,Negative
19,legal stewardship cleverly changed accounting cycle calendar year reporting july june cycle,Positive
20,amazing image,Positive
21,know george floyd career criminal one going say juror begin deliberation federal trial ex officer charged george floyd killing,Negative
22,sat may los angeles california los angeles law enforcement hit protester face rubber bullet watch,Neutral
23,today verdict make clear justice department continue use every resource disposal confront unlawful act hate hold accountable perpetrate garland,Negative
24,america five accused hunting boy birmingham fatal stabbing guardian,Negative
25,white people going blamed standard black people living future gonna make much hated like trump fall grace,Negative
26,year later message still ring true abrery killer held accountable bring victim police brutality back still fighting justice continue say name rest power ahmaud arbery,Positive
27,shall start commission attractive value,Positive
28,black people never say god already confirmed israelite matter called black hispanic native american,Positive
29,every day history unfolds post colonial struggle african descent equality world stage continues good people turn blind eye reality enable,Positive
30,teaming orgs across li queen justice matthew felix rally friday pm,Neutral
31,yes support bullying support racism either better ahs carrie lynn responding call time telling people colour go back came,Positive
32,u maternal death rise pandemic amid racial disparity via,Neutral
33,time,Neutral
34,police amir locke dead blatant lack training self restraint disease infecting law enforcement,Negative
35,see nothing except continuing literally besides every day protest across nation community decide stand,Neutral
36,sleep night little help people became victim ancestor action right,Positive
37,different race would shot street first walked towards police rifle adulation murderer disgusting,Negative
38,mile ahmaud arbery,Neutral
39,medical field think black skin freak nature nothing dr education informed black skin normal palest white skin,Negative
40,learning difference stress burnout first step toward bettering mental health,Positive
41,,Neutral
42,must better everyone promise boat rise maternal death rose first year pandemic,Positive
43,black people never say god already confirmed israelite matter called black hispanic native american,Positive
44,justice way,Neutral
45,amp kudos never letting anything malicious word stop achieving goal walking definition brighter future,Neutral
46,wonder republican governor candidate richard irvin black celebrate since relate,Negative
47,feel tension unfurls two young black woman meet starkly white backdrop new york city book publishing,Positive
48,cdc released maternal mortality rate yet black woman significantly higher risk pregnancy related death disparity unconscionable amp inexcusable must addressed immediately,Positive
49,ding ding ding ding ding ding,Neutral
50,every day day advocate racial equality running mile anniversary murder opportunity collectively highlight never happened ahmaud arbery,Neutral
51,seemed run like college trotskyite study group despite long list corporate sponsor,Negative
52,please share march available fund event tier tier grant,Positive
53,republican hate freedom much commie,Negative
54,belief revised medicare free college ubi ending war green new deal right living wage housing clean water flint legal weed paid leave sick leave zero intervention pro union pro end drug war,Positive
55,many people apart black life matter movement hurt want heard want thing change take lot courage stand believe crowd behind make even stronger,Negative
56,periodic station identification hope forgetting,Neutral
57,huge thank donating sending amazing book united kingdom continue give back youth,Positive
58,black people never say god already confirmed israelite matter called black hispanic native american visit website,Positive
59,ala caucus flexing,Neutral
60,im creating gay gc trade yo dm meeee,Positive
61,person color never fly promote racism,Negative
62,breonna taylor killing former cop shot apartment stand trial,Neutral
63,today pm,Neutral
64,local television news white people commit crime today,Neutral
65,shared value winey boy afraid life saving vaccine little temporary mask willing spread deadly pandemic child whining entitled white dude never,Negative
66,terrence franklin,Neutral
67,amp latinx woman research study currently seeking interview working class first generation latinx college woman perspective activism movement interested participating please visit,Positive
68,personally love seeing went rider play dumb game win dumb prize,Positive
69,thanks reminding u amerikka find black owned bank,Positive
70,faith without work equal death visit website like subscribe share,Neutral
71,activist blocking traffic called terrorist bunch white canadian blocking traffic also u border slowing entire economy cheered changed,Neutral
72,greatest disservice could community never tell mine field steven smith,Positive
73,black people stop banking chase,Negative
74,reality young black man life sickening witness bystander police brass politician mayor president call every time time stop,Negative
75,tue jun hollywood california police fire crowd peaceful protester short range watch,Positive
76,treat black people,Negative
77,wed jul seattle washington police strike pepper spray protester marching th precinct watch,Neutral
78,applies everyone country race gender name right feel safe subjected kind animosity time unite people prejudice stand equality hate,Positive
79,black woman freak nature ever say,Negative
80,yet another rise asian hate crime new york wrote year ago still relevant today american man asian descent certainly interesting say least frightening actually,Negative
81,single father shot face hamburger,Negative
82,illegal also cruel talk keeping people poor sickening,Negative
83,winner public service social justice racial equity detroit youth choir glory detroit youth choir,Positive
84,anima educator keeping momentum going learn real tactic challenge anti black racism w upcoming challenging anti black racism organization course,Positive
85,say name marcus meridy,Neutral
86,one die mental health episode latjor tuel sundanese man ptsd murdered calgary police defending dog let lose okay,Positive
87,minnesota middle school student given tip blm protest white student told speak,Neutral
88,also question richard irvin handle correctly saying life matter boo ignoring statistic prove black stopped police deadly encounter white counterpart,Negative
89,get sick theme gaming hmu,Negative
90,oh thought forgot,Neutral
91,doubt innocent explanation amp fabricated blown story tabloid press yellow press u reader want admit vast amount good,Positive
92,back root,Neutral
93,today pray love face hate protection black community peace pass understanding rest power ahmaud arbery fight continues,Negative
94,could solve staffing problem instituting universal bilingualism requirement pierre,Neutral
95,look act think like trumper coming right freedom danger prove wrong wait,Negative
96,exactly detest racist,Positive
97,thought protest,Neutral
98,untitled malcolm x los angeles california,Neutral
99,big thank phyllis thompson joining u today student enamored dialogue memory storytelling,Neutral
100,senseless killing ahmaud arbery national tragedy reflect want country speaking loud clear say,Positive
101,ding ding ding ding ding,Neutral
102,free article kinkaid act offered land black family built community dewitty sandhills read homesteader staking claim,Positive
103,story louis jones field archivist detroit journey archive amp story uaw cesar chavez archivist examining imagining role midst covid movement,Neutral
104,govt still blocking food medicine region million people suffering extreme lack food,Negative
105,turkey iran uae amp china using black people modern day target practice testing drone technology civilian region,Positive
106,one bravest human planet,Neutral
107,family complying unjust bigoted law florida stand accomplice texas elsewhere,Neutral
108,single father shot face hamburger,Negative
109,single father shot face hamburger,Negative
110,say support abortion million black life killed due abortion,Negative
111,okay third time around trying find doctor health let hope one charm,Positive
112,black people never say god already confirmed matter called visit website,Positive
113,standard always way give bit ground basic humanity quickly check u back place natural instinct protect one position,Positive
114,defund dewar police,Neutral
115,harriet tubman,Neutral
116,everything divide u,Neutral
117,sign racist bigotry make calvin crew blowing brain amp head christina spicuzza literally reason im weird belief innocent white woman who head exploded might oppressed,Neutral
118,photo white supremacist aubrey cottle posting racial slur,Neutral
119,hate america killed still alive,Negative
120,remarkable community builder advocate truly inspiring leader fiercely passionate creating space see future achievable reality fight tirelessly giving much,Positive
121,even decade one powerful movement american history civil right movement african american facing discrimination brutality today,Positive
122,second anniversary death family community leader city unveils new park ahmaud honor,Positive
123,woman rot hell poor girl god family freinds rest soul anyone happened family freinds,Negative
124,diversity promoting inclusiveness diversity within community important join u effort promote diversity nfts,Positive
125,sat jun portland oregon officer attack photographer baton pepper spray watch,Neutral
126,jacob rees mogg go suck nanny,Neutral
127,john,Neutral
128,must stop police murder black amp indigenous people mental health issue mental illness amp disability leveraged police racist reason excuse murder black amp indigenous people stolen indigenous land,Negative
129,anger g money shoot little wee wee bag weed outrage liquored black men leftist use issue politically,Negative
130,black life matter everyone going get result sort look like result design sad,Negative
131,amp amp,Neutral
132,check new drawing uploaded,Positive
133,promoting inclusiveness diversity within community important join u effort promote diversity nfts,Positive
134,racism,Neutral
135,say u loud proud captain demoted captain supported decided save child life cost hell wrong,Positive
136,immune system ready smallpox,Positive
137,need something policing canada people listen protester activist year perhaps listen ottawa elite understand problem selective policing canada,Neutral
138,employer jesuit university removed sign student service building campus,Neutral
139,made nascar fan thank support,Neutral
140,kardashian jenner bunch reverting back white woman use black culture bri noble excellent eye opening gt gt gt keeping appropriation,Positive
141,day strikeing say got,Neutral
142,celebrate every day get know born n raised ida mcray michelle kilfeather,Neutral
143,lyric putting u risk putting u risk,Positive
144,watching story today rip amp,Neutral
145,remain steadfast health wellness black child family,Positive
146,clearly idea since could used help chose pretty much take advantage everyone chargebacks,Positive
147,amount praying world save biological law cause amp effect come treat temple,Neutral
148,hey btw human right political statement fucking fact,Negative
149,extra denuncie,Neutral
150,extra denuncie,Neutral
151,doctor ordered needed prove case,Neutral
152,extra denuncie,Neutral
153,expect international orgs value even african leader value,Neutral
154,promised remove patch one,Neutral
155,extra denuncie,Neutral
156,u agree everyone support,Neutral
157,say took city destroyed property rioted looted yes even killed,Negative
158,actual spit take read damnit good stuff tell ya woman show watch every night thatchit better,Positive
159,even though painting wall mean lot african american community ancestor painted wall need beautiful piece art,Positive
160,anything chess hooked love minority finding game chess shaking thing time let chagne game,Negative
161,ding ding ding ding,Neutral
162,video lecture drawing african conception god guide choice two culture,Neutral
163,hey violet name lilac amp royale high player follow back support think everyone treated equally also rule follow guy cuss tweet positive,Positive
164,beautiful afternoon unless confused plant animal,Positive
165,oppressor oppress matter oppressed capitalist care capital sadly distressing many level,Neutral
166,conscience amerikkka nonexistent thanks racist system coward power capitalism wake tf people better humanity god like ugly,Neutral
167,black history,Negative
168,strong hook,Positive
169,happy ahmaud arbery day,Positive
170,repair damage country inflicted upon black people century demand reparation justice peace,Negative
171,resistance title single amazing video,Positive
172,amazing song video political corruption,Positive
173,bandcamp song help rock band progressive message get billboard chart,Neutral
174,extra denuncie,Neutral
175,world premier song dedication moving video,Neutral
176,world premier rock song let go awesome video,Positive
